"","Age","count","animals","status"
"1",0,-380,"All","Dead"
"2",1,-31,"All","Dead"
"3",2,-39,"All","Dead"
"4",3,-37,"All","Dead"
"5",4,-44,"All","Dead"
"6",5,-43,"All","Dead"
"7",6,-36,"All","Dead"
"8",7,-45,"All","Dead"
"9",8,-29,"All","Dead"
"10",9,-36,"All","Dead"
"11",10,-39,"All","Dead"
"12",11,-38,"All","Dead"
"13",12,-49,"All","Dead"
"14",13,-38,"All","Dead"
"15",14,-35,"All","Dead"
"16",15,-28,"All","Dead"
"17",16,-34,"All","Dead"
"18",17,-23,"All","Dead"
"19",18,-23,"All","Dead"
"20",19,-25,"All","Dead"
"21",20,-13,"All","Dead"
"22",21,-26,"All","Dead"
"23",22,-22,"All","Dead"
"24",23,-22,"All","Dead"
"25",24,-21,"All","Dead"
"26",25,-20,"All","Dead"
"27",26,-12,"All","Dead"
"28",27,-9,"All","Dead"
"29",28,-11,"All","Dead"
"30",29,-11,"All","Dead"
"31",30,-10,"All","Dead"
"32",31,-8,"All","Dead"
"33",32,-16,"All","Dead"
"34",33,-9,"All","Dead"
"35",34,-12,"All","Dead"
"36",35,-7,"All","Dead"
"37",36,-8,"All","Dead"
"38",37,-3,"All","Dead"
"39",38,-7,"All","Dead"
"40",39,-6,"All","Dead"
"41",40,-9,"All","Dead"
"42",41,-7,"All","Dead"
"43",42,-2,"All","Dead"
"44",43,-1,"All","Dead"
"45",44,-5,"All","Dead"
"46",45,-4,"All","Dead"
"47",46,-3,"All","Dead"
"48",47,-3,"All","Dead"
"49",50,-1,"All","Dead"
"50",51,-3,"All","Dead"
"51",53,-1,"All","Dead"
"52",61,-1,"All","Dead"
"53",0,1,"All","Alive"
"54",1,15,"All","Alive"
"55",2,17,"All","Alive"
"56",3,18,"All","Alive"
"57",4,18,"All","Alive"
"58",5,19,"All","Alive"
"59",6,19,"All","Alive"
"60",7,24,"All","Alive"
"61",8,20,"All","Alive"
"62",9,15,"All","Alive"
"63",10,29,"All","Alive"
"64",11,9,"All","Alive"
"65",12,23,"All","Alive"
"66",13,20,"All","Alive"
"67",14,20,"All","Alive"
"68",15,19,"All","Alive"
"69",16,14,"All","Alive"
"70",17,21,"All","Alive"
"71",18,14,"All","Alive"
"72",19,11,"All","Alive"
"73",20,10,"All","Alive"
"74",21,10,"All","Alive"
"75",22,5,"All","Alive"
"76",23,11,"All","Alive"
"77",24,12,"All","Alive"
"78",25,10,"All","Alive"
"79",26,8,"All","Alive"
"80",27,9,"All","Alive"
"81",28,11,"All","Alive"
"82",29,34,"All","Alive"
"83",30,19,"All","Alive"
"84",31,5,"All","Alive"
"85",32,5,"All","Alive"
"86",33,14,"All","Alive"
"87",34,5,"All","Alive"
"88",35,3,"All","Alive"
"89",36,5,"All","Alive"
"90",37,5,"All","Alive"
"91",38,4,"All","Alive"
"92",39,7,"All","Alive"
"93",40,3,"All","Alive"
"94",41,1,"All","Alive"
"95",42,4,"All","Alive"
"96",43,1,"All","Alive"
"97",44,2,"All","Alive"
"98",45,6,"All","Alive"
"99",46,1,"All","Alive"
"100",47,3,"All","Alive"
"101",48,3,"All","Alive"
"102",49,1,"All","Alive"
"103",0,-320,"Bottlenose","Dead"
"104",1,-26,"Bottlenose","Dead"
"105",2,-27,"Bottlenose","Dead"
"106",3,-27,"Bottlenose","Dead"
"107",4,-27,"Bottlenose","Dead"
"108",5,-28,"Bottlenose","Dead"
"109",6,-28,"Bottlenose","Dead"
"110",7,-38,"Bottlenose","Dead"
"111",8,-22,"Bottlenose","Dead"
"112",9,-23,"Bottlenose","Dead"
"113",10,-29,"Bottlenose","Dead"
"114",11,-30,"Bottlenose","Dead"
"115",12,-41,"Bottlenose","Dead"
"116",13,-32,"Bottlenose","Dead"
"117",14,-26,"Bottlenose","Dead"
"118",15,-16,"Bottlenose","Dead"
"119",16,-28,"Bottlenose","Dead"
"120",17,-19,"Bottlenose","Dead"
"121",18,-16,"Bottlenose","Dead"
"122",19,-17,"Bottlenose","Dead"
"123",20,-11,"Bottlenose","Dead"
"124",21,-14,"Bottlenose","Dead"
"125",22,-22,"Bottlenose","Dead"
"126",23,-19,"Bottlenose","Dead"
"127",24,-16,"Bottlenose","Dead"
"128",25,-14,"Bottlenose","Dead"
"129",26,-10,"Bottlenose","Dead"
"130",27,-8,"Bottlenose","Dead"
"131",28,-10,"Bottlenose","Dead"
"132",29,-9,"Bottlenose","Dead"
"133",30,-5,"Bottlenose","Dead"
"134",31,-8,"Bottlenose","Dead"
"135",32,-14,"Bottlenose","Dead"
"136",33,-6,"Bottlenose","Dead"
"137",34,-8,"Bottlenose","Dead"
"138",35,-4,"Bottlenose","Dead"
"139",36,-5,"Bottlenose","Dead"
"140",37,-3,"Bottlenose","Dead"
"141",38,-7,"Bottlenose","Dead"
"142",39,-6,"Bottlenose","Dead"
"143",40,-8,"Bottlenose","Dead"
"144",41,-7,"Bottlenose","Dead"
"145",42,-2,"Bottlenose","Dead"
"146",43,-1,"Bottlenose","Dead"
"147",44,-5,"Bottlenose","Dead"
"148",45,-4,"Bottlenose","Dead"
"149",46,-3,"Bottlenose","Dead"
"150",47,-3,"Bottlenose","Dead"
"151",50,-1,"Bottlenose","Dead"
"152",51,-3,"Bottlenose","Dead"
"153",61,-1,"Bottlenose","Dead"
"154",1,12,"Bottlenose","Alive"
"155",2,14,"Bottlenose","Alive"
"156",3,16,"Bottlenose","Alive"
"157",4,15,"Bottlenose","Alive"
"158",5,14,"Bottlenose","Alive"
"159",6,18,"Bottlenose","Alive"
"160",7,20,"Bottlenose","Alive"
"161",8,17,"Bottlenose","Alive"
"162",9,14,"Bottlenose","Alive"
"163",10,26,"Bottlenose","Alive"
"164",11,6,"Bottlenose","Alive"
"165",12,19,"Bottlenose","Alive"
"166",13,15,"Bottlenose","Alive"
"167",14,19,"Bottlenose","Alive"
"168",15,16,"Bottlenose","Alive"
"169",16,13,"Bottlenose","Alive"
"170",17,18,"Bottlenose","Alive"
"171",18,9,"Bottlenose","Alive"
"172",19,10,"Bottlenose","Alive"
"173",20,9,"Bottlenose","Alive"
"174",21,9,"Bottlenose","Alive"
"175",22,5,"Bottlenose","Alive"
"176",23,11,"Bottlenose","Alive"
"177",24,5,"Bottlenose","Alive"
"178",25,6,"Bottlenose","Alive"
"179",26,6,"Bottlenose","Alive"
"180",27,8,"Bottlenose","Alive"
"181",28,11,"Bottlenose","Alive"
"182",29,27,"Bottlenose","Alive"
"183",30,18,"Bottlenose","Alive"
"184",31,5,"Bottlenose","Alive"
"185",32,2,"Bottlenose","Alive"
"186",33,12,"Bottlenose","Alive"
"187",34,3,"Bottlenose","Alive"
"188",35,2,"Bottlenose","Alive"
"189",36,5,"Bottlenose","Alive"
"190",37,3,"Bottlenose","Alive"
"191",38,4,"Bottlenose","Alive"
"192",39,5,"Bottlenose","Alive"
"193",40,3,"Bottlenose","Alive"
"194",41,1,"Bottlenose","Alive"
"195",42,3,"Bottlenose","Alive"
"196",43,1,"Bottlenose","Alive"
"197",44,2,"Bottlenose","Alive"
"198",45,6,"Bottlenose","Alive"
"199",46,1,"Bottlenose","Alive"
"200",47,2,"Bottlenose","Alive"
"201",48,2,"Bottlenose","Alive"
"202",49,1,"Bottlenose","Alive"
"203",0,-9,"Orca","Dead"
"204",3,-2,"Orca","Dead"
"205",4,-1,"Orca","Dead"
"206",5,-1,"Orca","Dead"
"207",10,-2,"Orca","Dead"
"208",11,-1,"Orca","Dead"
"209",12,-3,"Orca","Dead"
"210",13,-1,"Orca","Dead"
"211",14,-2,"Orca","Dead"
"212",15,-3,"Orca","Dead"
"213",16,-3,"Orca","Dead"
"214",19,-4,"Orca","Dead"
"215",20,-2,"Orca","Dead"
"216",21,-3,"Orca","Dead"
"217",23,-1,"Orca","Dead"
"218",24,-1,"Orca","Dead"
"219",25,-1,"Orca","Dead"
"220",26,-2,"Orca","Dead"
"221",29,-1,"Orca","Dead"
"222",36,-1,"Orca","Dead"
"223",0,1,"Orca","Alive"
"224",3,1,"Orca","Alive"
"225",4,2,"Orca","Alive"
"226",7,2,"Orca","Alive"
"227",10,1,"Orca","Alive"
"228",11,1,"Orca","Alive"
"229",12,1,"Orca","Alive"
"230",13,1,"Orca","Alive"
"231",15,1,"Orca","Alive"
"232",16,1,"Orca","Alive"
"233",18,1,"Orca","Alive"
"234",24,2,"Orca","Alive"
"235",26,2,"Orca","Alive"
"236",29,2,"Orca","Alive"
"237",37,1,"Orca","Alive"
"238",39,2,"Orca","Alive"
"239",47,1,"Orca","Alive"
"240",48,1,"Orca","Alive"
"241",0,-15,"Beluga","Dead"
"242",2,-3,"Beluga","Dead"
"243",3,-1,"Beluga","Dead"
"244",4,-4,"Beluga","Dead"
"245",5,-1,"Beluga","Dead"
"246",7,-3,"Beluga","Dead"
"247",9,-2,"Beluga","Dead"
"248",12,-1,"Beluga","Dead"
"249",13,-1,"Beluga","Dead"
"250",14,-1,"Beluga","Dead"
"251",15,-2,"Beluga","Dead"
"252",16,-1,"Beluga","Dead"
"253",17,-2,"Beluga","Dead"
"254",18,-2,"Beluga","Dead"
"255",19,-1,"Beluga","Dead"
"256",21,-2,"Beluga","Dead"
"257",24,-1,"Beluga","Dead"
"258",25,-3,"Beluga","Dead"
"259",27,-1,"Beluga","Dead"
"260",28,-1,"Beluga","Dead"
"261",33,-1,"Beluga","Dead"
"262",34,-1,"Beluga","Dead"
"263",36,-1,"Beluga","Dead"
"264",40,-1,"Beluga","Dead"
"265",1,1,"Beluga","Alive"
"266",4,1,"Beluga","Alive"
"267",5,1,"Beluga","Alive"
"268",7,2,"Beluga","Alive"
"269",8,1,"Beluga","Alive"
"270",9,1,"Beluga","Alive"
"271",10,2,"Beluga","Alive"
"272",11,1,"Beluga","Alive"
"273",12,1,"Beluga","Alive"
"274",14,1,"Beluga","Alive"
"275",15,2,"Beluga","Alive"
"276",17,1,"Beluga","Alive"
"277",18,2,"Beluga","Alive"
"278",25,3,"Beluga","Alive"
"279",27,1,"Beluga","Alive"
"280",29,2,"Beluga","Alive"
"281",32,2,"Beluga","Alive"
"282",33,2,"Beluga","Alive"
"283",42,1,"Beluga","Alive"
